date,open,high,low,close,volume,log_return,simple_return,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,macd,macd_signal,macd_diff,rsi,stoch_k,stoch_d,williams_r,cci,roc,atr,bb_upper,bb_middle,bb_lower,donchian_upper,donchian_lower,adx,vortex_pos,vortex_neg,obv,hour_sin,hour_cos,weekday_sin,weekday_cos,label,sma_cross,ema_cross,rsi_signal,macd_signal,bollinger_signal,stoch_signal,williams_signal,cci_signal,roc_signal,adx_trend,vortex_signal,obv_signal,final_decision
2020-03-13,1574.9000244140625,1589.800048828125,1513.800048828125,1515.699951171875,89,-0.047416352203101815,-0.04630975611591981,1629.2700073242188,1625.375,1587.36,1613.4885694605741,1614.6768968433703,1592.3582639938045,5.241068795669889,16.713752827980187,-11.472684032310298,33.89026995994335,1.011662984405804,25.185735436089814,-98.9883370155942,-195.62148255947906,-3.094432911549088,35.645993008825386,1706.1130399122394,1625.375,1544.6369600877606,1701.5999755859375,1513.800048828125,37.764547097367995,0.72213887179629,1.1102779005778767,313351,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,2,0,2,2,1,2,1,0,2
2020-03-16,1569.0999755859375,1569.0999755859375,1452.0999755859375,1485.9000244140625,193,-0.019856680529920206,-0.019660835071461547,1618.6300048828125,1620.5350036621094,1586.5880004882813,1590.29065217939,1602.4124328024836,1588.1834310691088,-5.500819132810648,12.270838435822021,-17.77165756863267,30.748390430856745,13.547113758767535,10.962034245830509,-86.45288624123246,-234.22341839826282,-6.6821592131689656,41.456993508195005,1720.291460270743,1620.5350036621094,1520.7785470534757,1701.5999755859375,1452.0999755859375,37.726781106518274,0.7163318415833232,1.1073537260913369,313158,0.0,1.0,0.0,1.0,0,0,0,0,1,2,2,2,2,1,2,1,1,2
2020-03-17,1469.300048828125,1537.699951171875,1469.300048828125,1524.9000244140625,122,0.02590818443844778,0.026246718728858642,1606.910009765625,1616.7800048828126,1586.102001953125,1578.4014471311486,1595.030298670253,1585.701728847342,-10.743029684950216,7.668064811667575,-18.411094496617793,38.751260229856115,29.178376283817634,14.579051008996991,-70.82162371618236,-183.00820384353733,-7.137199495423868,43.381486996448935,1724.668016950208,1616.7800048828126,1508.891992815417,1701.5999755859375,1452.0999755859375,37.69171268644353,0.7560975690893162,1.1342144661715214,313280,0.0,1.0,0.7818314824680298,0.6234898018587336,1,0,0,0,1,0,0,0,2,1,2,1,2,0
2020-03-18,1537.5,1542.0,1477.300048828125,1477.300048828125,333,-0.03171271975140128,-0.031215145139910194,1590.5300170898438,1610.2700073242188,1584.32400390625,1560.019374712417,1583.8178939233837,1581.4506825720787,-18.52489606530571,2.429472636272918,-20.95436870157863,33.6413210877074,10.100229756387776,17.608573266324317,-89.89977024361222,-166.52278264205887,-9.981105916434462,44.90423443755079,1734.140951476112,1610.2700073242188,1486.3990631723257,1701.5999755859375,1452.0999755859375,37.517051583555045,0.7778205865611095,1.1336156832858928,312947,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,2,0,2,2,1,2,1,1,0
2020-03-19,1481.5,1491.5999755859375,1471.0,1478.5999755859375,262,0.0008795472315558977,0.0008799341466505517,1571.7500122070312,1603.3700073242187,1582.4600024414062,1545.2158475985116,1573.797139796008,1577.4173215137987,-24.306992136866484,-2.9178203183549627,-21.38917181851152,33.89767706931275,10.62124248496994,16.633282841725116,-89.37875751503006,-156.52996593278573,-11.26980593355182,43.16821594814984,1739.7993170675236,1603.3700073242187,1466.9406975809138,1701.5999755859375,1452.0999755859375,37.458289159964345,0.854429487506027,1.1927076308253548,313209,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,2,2,1,2,1,2,2
2020-03-20,1483.5,1484.0,1483.5,1484.0,14,0.0036454671159334207,0.003652119912907814,1553.0700073242188,1595.3400085449218,1580.992001953125,1534.085693489691,1565.2450312440071,1573.7538971407087,-28.12935044894016,-7.960126344472002,-20.169224104468157,35.020683863264935,12.78558092747996,11.169017722945894,-87.21441907252004,-129.2686425832183,-11.180275518853609,40.470487981429315,1739.7868524308196,1595.3400085449218,1450.893164659024,1701.5999755859375,1452.0999755859375,37.4037240523444,0.8572893159929666,1.1724543506135443,313223,0.0,1.0,-0.433883739117558,-0.9009688679024191,2,0,0,0,1,0,2,2,2,1,2,1,2,2
2020-03-23,1505.300048828125,1567.0,1490.199951171875,1567.0,51,0.05442181862869502,0.055929919137466255,1542.3200073242188,1590.0700073242188,1581.2980029296875,1540.0701128552018,1565.4121711255302,1573.4890384293085,-24.182430602856584,-11.20458719614892,-12.977843406707665,49.282902911360345,46.052113993612224,23.15297913535404,-53.947886006387776,-57.405365249546286,-6.41982681397432,43.50831026847008,1730.5220669917328,1590.0700073242188,1449.6179476567047,1701.5999755859375,1452.0999755859375,34.86667792568869,0.8387367802112082,1.1117192831207654,313274,0.0,1.0,0.0,1.0,1,0,0,0,1,0,0,0,0,1,2,1,2,1
2020-03-24,1592.699951171875,1685.5,1592.699951171875,1660.199951171875,442,0.05777508425392426,0.059476675923340716,1542.4300048828125,1590.7350036621094,1583.352001953125,1561.9119016400514,1574.4395787489916,1576.8894663799974,-13.379777289759659,-11.639625214871069,-1.7401520748885897,59.920751634223606,83.40680384205912,47.41483292105044,-16.59319615794088,60.12983469342887,0.06629953602096982,48.86485953500794,1732.3779484940283,1590.7350036621094,1449.0920588301906,1701.5999755859375,1452.0999755859375,34.28921448646276,0.9076432711498355,0.9845662675606928,313716,0.0,1.0,0.7818314824680298,0.6234898018587336,1,0,0,0,1,0,0,1,0,2,2,1,2,0
2020-03-25,1676.5,1676.5,1631.0999755859375,1632.300048828125,476,-0.016947954536260905,-0.016805145864542737,1541.5200073242188,1590.3500061035156,1585.0300024414062,1574.7097465833376,1579.950099708909,1579.0624303975712,-6.98931716259267,-10.70956360441539,3.72024644182272,56.125575705258434,72.22447825338176,67.22779869635103,-27.775521746618235,60.16899456154107,-0.5544032807716057,48.617371312083264,1731.4962194826694,1590.3500061035156,1449.2037927243618,1701.5999755859375,1452.0999755859375,33.752998435752964,0.9480693500172148,1.0283257553480578,313240,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,2,0,0,0,0,1,2,1,1,1
2020-03-26,1660.5,1660.5,1650.0999755859375,1650.0999755859375,3,0.010845784249569976,0.010904812978834055,1547.6,1590.8550048828124,1587.1840014648437,1588.4170609474468,1586.6310402686258,1581.8482164833897,-0.48295889239284406,-8.664242662010881,8.181283769618037,57.9552211890674,79.35871743486975,78.32999984343688,-20.64128256513026,67.06191960988657,3.8255788642706894,47.15898415921124,1732.7782970094086,1590.8550048828124,1448.9317127562163,1701.5999755859375,1452.0999755859375,33.25508353152244,0.9365879535303228,1.0428062194337542,313243,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,2,0,0,0,0,2,2,1,2,2
