date,sma_cross,ema_cross,rsi_signal,macd_signal,bollinger_signal,stoch_signal,williams_signal,cci_signal,roc_signal,adx_trend,vortex_signal,obv_signal,final_decision,open,close
2025-06-03,0,0,0,0,0,0,1,0,2,0,2,1,0,3385.10009765625,3350.199951171875
2025-06-04,0,0,0,0,0,0,1,1,2,0,2,2,2,3355.0,3373.5
2025-06-05,0,0,0,0,0,0,0,1,2,0,2,1,0,3371.5,3350.699951171875
2025-06-06,0,0,0,0,0,0,0,0,2,0,2,1,2,3364.300048828125,3322.699951171875
2025-06-09,0,0,0,0,0,0,0,0,1,0,2,2,2,3315.60009765625,3332.10009765625
2025-06-10,0,0,0,0,0,0,0,0,2,0,2,1,2,3302.0,3320.89990234375
2025-06-11,0,0,0,0,0,0,0,0,2,0,2,2,2,3328.0,3321.300048828125
2025-06-12,0,0,0,0,0,0,1,1,2,0,2,2,2,3363.0,3380.89990234375
2025-06-13,0,0,0,0,1,0,1,1,2,0,2,2,0,3407.300048828125,3431.199951171875
2025-06-16,0,0,0,0,0,0,0,1,2,0,2,1,0,3442.0,3396.39990234375
2025-06-17,0,0,0,0,0,0,0,0,2,0,2,1,2,3398.300048828125,3386.60009765625
2025-06-18,0,0,0,0,0,0,0,0,2,0,2,0,2,3385.300048828125,3389.800048828125
2025-06-20,0,0,0,0,0,0,0,0,2,0,2,1,2,3350.0,3368.10009765625
2025-06-23,0,0,0,0,0,0,0,0,2,0,2,2,2,3365.89990234375,3377.699951171875
2025-06-24,0,0,0,0,0,0,2,0,1,0,1,1,1,3358.0,3317.39990234375
2025-06-25,0,0,0,0,0,0,0,0,2,0,1,2,2,3321.60009765625,3327.10009765625
2025-06-26,0,0,0,0,0,0,0,0,2,0,1,2,2,3332.39990234375,3333.5
2025-06-27,0,0,0,0,2,0,2,2,1,0,1,1,0,3318.699951171875,3273.699951171875
2025-06-30,0,0,0,0,0,0,0,2,1,0,1,2,0,3265.89990234375,3294.39990234375
2025-07-01,0,0,0,0,0,0,0,0,1,0,2,2,2,3310.10009765625,3336.699951171875
2025-07-02,0,0,0,0,0,0,0,0,1,0,2,2,2,3329.0,3348.0
2025-07-03,0,0,0,0,0,0,0,0,1,0,1,0,1,3362.0,3331.60009765625
2025-07-04,0,0,0,0,0,0,0,0,1,0,1,0,1,3342.0,3332.5
2025-07-07,0,0,0,0,0,0,0,0,1,0,1,1,1,3305.5,3332.199951171875
2025-07-08,0,0,0,0,0,0,0,0,1,0,1,1,1,3330.39990234375,3307.0
2025-07-09,0,0,0,0,0,0,0,0,1,0,1,2,1,3289.39990234375,3311.60009765625
2025-07-10,0,0,0,0,0,0,0,0,1,0,1,2,1,3323.60009765625,3317.39990234375
2025-07-11,0,0,0,0,0,0,1,0,2,0,1,2,0,3330.5,3356.0
2025-07-14,0,0,0,0,0,0,1,0,2,0,2,1,0,3367.0,3351.5
2025-07-15,0,0,0,0,0,0,0,0,1,0,2,1,1,3341.0,3329.800048828125
2025-07-16,0,0,0,0,0,0,1,0,2,0,2,2,2,3341.199951171875,3352.5
2025-07-17,0,0,0,0,0,0,0,0,2,0,2,1,2,3313.800048828125,3340.10009765625
2025-07-18,0,0,0,0,0,0,0,0,2,0,2,2,2,3338.199951171875,3353.0
2025-07-21,0,0,0,0,1,0,1,1,2,0,2,2,0,3350.300048828125,3401.89990234375
2025-07-22,0,0,0,0,1,0,1,1,2,0,2,2,0,3411.0,3439.199951171875
2025-07-23,0,0,0,0,0,0,0,1,2,0,2,1,0,3430.300048828125,3394.10009765625
2025-07-24,0,0,0,0,0,0,0,0,2,0,2,1,2,3367.0,3371.0
2025-07-25,0,0,0,0,0,0,0,0,1,0,2,1,1,3344.0,3334.0
2025-07-28,0,0,0,0,0,0,2,0,1,0,2,1,0,3326.60009765625,3309.10009765625
2025-07-29,0,0,0,0,0,0,2,0,1,0,2,2,2,3323.39990234375,3323.39990234375
2025-07-30,0,0,0,0,0,2,2,2,1,0,2,1,2,3325.800048828125,3295.800048828125
2025-07-31,0,0,0,0,0,2,2,2,1,0,1,1,0,3272.89990234375,3293.199951171875
2025-08-01,0,0,0,0,0,0,0,0,1,0,2,2,2,3286.199951171875,3347.699951171875
