Date,Open,Close
2025-01-02,2633.0,2658.89990234375
2025-01-03,2658.699951171875,2645.0
2025-01-06,2645.5,2638.39990234375
2025-01-07,2653.39990234375,2656.699951171875
2025-01-08,2655.5,2664.5
2025-01-09,2669.699951171875,2683.800048828125
2025-01-10,2686.10009765625,2708.5
2025-01-13,2711.10009765625,2673.5
2025-01-14,2673.60009765625,2677.5
2025-01-15,2690.800048828125,2712.5
2025-01-16,2731.699951171875,2746.39990234375
2025-01-17,2736.0,2744.300048828125
2025-01-21,2746.0,2755.0
2025-01-22,2754.5,2767.60009765625
2025-01-23,2760.0,2763.10009765625
2025-01-24,2759.800048828125,2777.300048828125
2025-01-27,2761.10009765625,2737.5
2025-01-28,2738.0,2766.800048828125
2025-01-29,2769.10009765625,2769.10009765625
2025-01-30,2772.5,2823.0
2025-01-31,2829.0,2812.5
2025-02-03,2818.199951171875,2833.89990234375
2025-02-04,2827.60009765625,2853.300048828125
2025-02-05,2850.0,2871.60009765625
2025-02-06,2865.199951171875,2856.0
2025-02-07,2859.89990234375,2867.300048828125
2025-02-10,2864.199951171875,2914.300048828125
2025-02-11,2925.5,2912.5
2025-02-12,2902.0,2909.0
2025-02-13,2911.300048828125,2925.89990234375
2025-02-14,2937.300048828125,2883.60009765625
2025-02-18,2879.199951171875,2931.60009765625
2025-02-19,2938.699951171875,2919.39990234375
2025-02-20,2949.10009765625,2940.0
2025-02-21,2938.800048828125,2937.60009765625
2025-02-24,2933.10009765625,2947.89990234375
2025-02-25,2938.699951171875,2904.5
2025-02-26,2913.5,2916.800048828125
2025-02-27,2918.5,2883.199951171875
2025-02-28,2877.10009765625,2836.800048828125
2025-03-03,2872.699951171875,2890.199951171875
2025-03-04,2886.10009765625,2909.60009765625
2025-03-05,2916.699951171875,2915.300048828125
2025-03-06,2904.0,2916.60009765625
2025-03-07,2900.89990234375,2904.699951171875
2025-03-10,2910.10009765625,2891.0
2025-03-11,2884.39990234375,2912.89990234375
2025-03-12,2912.0,2939.10009765625
2025-03-13,2937.10009765625,2984.300048828125
2025-03-14,2994.39990234375,2994.5
2025-03-17,2991.0,3000.0
2025-03-18,3006.39990234375,3035.10009765625
2025-03-19,3035.199951171875,3035.89990234375
2025-03-20,3047.300048828125,3040.0
2025-03-21,3034.5,3018.199951171875
2025-03-24,3024.300048828125,3013.10009765625
2025-03-25,3026.39990234375,3023.699951171875
2025-03-26,3033.199951171875,3020.89990234375
2025-03-27,3025.5,3060.199951171875
2025-03-28,3069.699951171875,3086.5
2025-03-31,3091.0,3122.800048828125
2025-04-01,3129.699951171875,3118.89990234375
2025-04-02,3120.699951171875,3139.89990234375
2025-04-03,3150.0,3097.0
2025-04-04,3110.5,3012.0
2025-04-07,3016.39990234375,2951.300048828125
2025-04-08,2994.0,2968.39990234375
2025-04-09,2965.800048828125,3056.5
2025-04-10,3073.89990234375,3155.199951171875
2025-04-11,3182.10009765625,3222.199951171875
2025-04-14,3215.5,3204.800048828125
2025-04-15,3216.0,3218.699951171875
2025-04-16,3238.300048828125,3326.60009765625
2025-04-17,3345.0,3308.699951171875
2025-04-21,3342.199951171875,3406.199951171875
2025-04-22,3422.199951171875,3400.800048828125
2025-04-23,3321.199951171875,3276.300048828125
2025-04-24,3305.39990234375,3332.0
